Orthogroup	Athaliana_Araport11	Knitens_v1.1	Mpolymorpha_v6	Pmargaritaceum_v1	Ppatens_v3.3
OG0001407	AT5G08200, AT5G23130	kfl00203_0060	Mp8g03730		Pp3c15_20580, Pp3c2_37160, Pp3c2_371600, Pp3c2_371601, Pp3c2_371602, Pp3c2_371603, Pp3c2_371604, Pp3c7_23420
OG0001411	AT5G28830		Mp8g12640	pm001092g0030, pm001964g0030, pm001964g0040, pm004518g0020, pm005524g0020, pm006235g0010, pm006236g0040, pm008823g0010, pm009572g0010, pm012007g0010, pm015826g0010, pm181393g0010	Pp3c20_9750
OG0001419		kfl00642_0030	Mp8g18990, Mp8g189900, Mp8g189901, Mp8g189902, Mp8g189903	pm021456g0010	Pp3c21_17600
OG0001422	AT1G01480, AT2G22810, AT3G49700, AT3G61510, AT4G08040, AT4G11280, AT4G26200, AT4G37770, AT5G51690, AT5G65800	kfl00488_0050	Mp6g04560		Pp3c21_10860
OG0001431	AT1G13750, AT4G24890, AT5G50400	kfl00229_0080	Mp1g10670, Mp1g27820, Mp1g29780		Pp3c15_6210, Pp3c2_37680, Pp3c8_2430, Pp3c8_2445
OG0001435	AT1G17820, AT1G73200	kfl00975_0040	Mp1g08670		Pp3c14_11980, Pp3c17_10430, Pp3c1_25660, Pp3c5_12280, Pp3c6_14220
OG0001437	AT1G19350, AT1G75080, AT1G78700, AT3G50750, AT4G18890, AT4G36780		Mp1g13260	pm045312g0010	Pp3c20_1120, Pp3c23_21930
OG0001442	AT1G26120, AT3G02410, AT5G15860	kfl00201_0160, kfl00328_0170	Mp4g12480		Pp3c24_9360, Pp3c3_11050, Pp3c8_13190
OG0001444	AT1G27720, AT5G43130	kfl00211_0190	Mp2g09230		Pp3c4_10340
OG0001446	AT1G31850, AT4G19120		Mp8g02860	pm000446g0100, pm001235g0070, pm015250g0010	Pp3c1_19710, Pp3c7_1390
OG0001452	AT1G54510, AT3G04810, AT3G20860, AT3G44200, AT3G63280, AT5G28290	kfl00280_0170	Mp5g04500		Pp3c2_28480
OG0001455	AT1G55325	kfl01000_0020	Mp1g01940		Pp3c11_22280, Pp3c7_4610
OG0001460	AT1G65780, AT1G65810, AT4G05540, AT5G37030, AT5G37140, AT5G37150, AT5G37165, AT5G52090	kfl00039_0090	Mp4g12580		Pp3c22_1720
OG0001462	AT1G74540, AT1G74550, AT2G40890, AT5G07990	kfl00038_0230	Mp2g17120, Mp3g11100, Mp5g10800, Mp7g19270		Pp3c16_630, Pp3c22_19010
OG0001466	AT2G04790, AT2G047900, AT2G047902, AT2G047903, AT2G047904, AT2G047905, AT2G047906	kfl00109_0300	Mp7g16440		Pp3c15_5880
OG0001477	AT2G38450, AT5G05360		Mp5g01210	pm005991g0010, pm013700g0010	Pp3c19_7670
OG0001484	AT3G06680, AT3G06700		Mp1g23580	pm000941g0080, pm003949g0060, pm004857g0080	Pp3c10_8040, Pp3c14_7570, Pp3c1_34380
OG0001485	AT3G09290, AT3G23130, AT3G53820, AT4G17810, AT5G43540, AT5G57520	kfl00662_0020	Mp1g25140		Pp3c11_13030, Pp3c1_8210, Pp3c2_32900, Pp3c3_5040, Pp3c7_19440
OG0001490	AT3G19184, AT5G42700, AT5G58280	kfl00424_0060	Mp2g08790		Pp3c14_19410, Pp3c17_16150, Pp3c21_16260, Pp3c22_2550, Pp3c2_5990
OG0001491	AT3G19510, AT4G29940	kfl00030_0070	Mp4g02060		Pp3c3_29290, Pp3c4_370
OG0001495	AT3G24110, AT4G26470	kfl00130_0170		pm007659g0010, pm016424g0010	Pp3c16_16010, Pp3c6_22110
OG0001497	AT3G26890, AT5G41110	kfl00239_0110	Mp5g12880		Pp3c12_220, Pp3c17_330
OG0001504	AT4G02980	kfl00124_0230		pm004041g0010, pm006448g0040, pm006779g0010, pm010877g0020, pm010877g0030, pm012356g0020, pm014370g0040	Pp3c4_12660, Pp3c4_12750
OG0001507	AT4G19580, AT4G19590, AT5G37380	kfl00092_0360		pm041917g0010	Pp3c12_1490, Pp3c17_2560
OG0001510	AT4G24380, AT5G65400	kfl00024_0390	Mp1g14600, Mp1g17540		Pp3c18_21960
OG0001513	AT4G39420	kfl00258_0120	Mp4g01220		Pp3c10_13600, Pp3c3_30110, Pp3c7_14700
OG0001519	AT5G43210		Mp6g12900	pm002851g0090	Pp3c1_14770, Pp3c1_147700, Pp3c1_147701, Pp3c1_147702, Pp3c1_147703, Pp3c1_147704, Pp3c1_147705, Pp3c1_147706, Pp3c1_147707, Pp3c1_147708, Pp3c1_147709
OG0001524		kfl00264_0240	Mp8g09720	pm016584g0010, pm021674g0030, pm022629g0030	Pp3c21_17920, Pp3c21_179200, Pp3c21_179201, Pp3c21_179202, Pp3c22_17850
OG0001525		kfl00011_0320, kfl00047_0180, kfl00110_0190, kfl00110_0230, kfl00922_0030	Mp7g16080	pm000946g0010, pm002416g0010, pm006858g0020, pm019977g0010	Pp3c21_9420, Pp3c21_94200, Pp3c21_94201
OG0001527		kfl01077_0020, kfl01077_g2, kfl01137_0010	Mp4g11440	pm000689g0070, pm006572g0040, pm009350g0010, pm018495g0010, pm020882g0010	Pp3c10_3690, Pp3c12_4690
OG0001533	AT1G03950, AT5G44560	kfl00147_0110	Mp5g06990		Pp3c13_6090, Pp3c23_14890, Pp3c3_2240
OG0001536	AT1G07540, AT3G12560, AT3G46590, AT3G53790, AT5G13820, AT5G59430	kfl00007_0550		pm007172g0030, pm049875g0010	Pp3c17_13470, Pp3c21_13740
OG0001543	AT1G13680, AT1G49740, AT3G19310, AT4G36945, AT5G67130	kfl00534_0100	Mp1g11610		Pp3c10_22090, Pp3c10_22092, Pp3c21_19100, Pp3c3_27000, Pp3c8_11300
OG0001544	AT1G14260, AT2G02960, AT3G47550, AT5G62460	kfl00042_0130	Mp8g15410	pm007872g0030, pm021957g0010, pm029493g0010	
OG0001546	AT1G15860	kfl00187_0120	Mp2g17670		Pp3c2_25060, Pp3c2_25160, Pp3c7_13750
OG0001553	AT1G20570, AT1G80260	kfl00080_0210	Mp2g08990		Pp3c13_8820
OG0001557	AT1G26760	kfl00110_0240	Mp4g05890, Mp5g09790, Mp6g00790, Mp8g08970		Pp3c17_14770, Pp3c1_34190, Pp3c2_8360
OG0001561	AT1G48270		Mp5g18700	pm004857g0050	Pp3c15_15980, Pp3c9_15980
OG0001563	AT1G53660, AT3G14410	kfl00632_0050		pm019168g0020	Pp3c10_15150, Pp3c10_151500, Pp3c10_151501
OG0001565	AT1G55860, AT1G70320	kfl00780_0030	Mp4g21620		Pp3c11_25020, Pp3c7_8070, Pp3c7_8076
OG0001566	AT1G59560, AT1G63900		Mp7g14820	pm005203g0050, pm008733g0030	Pp3c19_9460, Pp3c22_7850
OG0001567	AT1G61690	kfl00368_0170	Mp5g14260		Pp3c16_8350, Pp3c16_83500, Pp3c16_83501, Pp3c16_83502, Pp3c16_83503, Pp3c16_83504, Pp3c16_83505, Pp3c16_83506, Pp3c16_83507, Pp3c16_83508, Pp3c16_83509
OG0001568	AT1G62350, AT3G46870, AT5G09315		Mp1g15120, Mp1g18030	pm001045g0020, pm001056g0030, pm002583g0110, pm026648g0010	Pp3c6_14920
OG0001587	AT2G41960, AT3G58050	kfl00220_0100	Mp4g05400		Pp3c16_15960, Pp3c6_26480
OG0001596	AT3G10090, AT5G03850, AT5G64140	kfl00237_0050		pm001613g0050, pm002993g0010, pm003930g0040, pm013356g0010	Pp3c14_19610, Pp3c17_13300, Pp3c1_28770, Pp3c5_6000, Pp3c6_27040
OG0001600	AT3G23670, AT4G14150	kfl00364_0100	Mp1g17360		Pp3c17_5100, Pp3c7_19550, Pp3c7_19554, Pp3c7_19570, Pp3c7_19581, Pp3c9_810
OG0001607	AT4G01210, AT5G04480	kfl00448_0030, kfl00718_0030, kfl00919_0050	Mp5g20940		Pp3c18_17630, Pp3c21_5280
OG0001608	AT4G11440	kfl00001_0790		pm011377g0010	Pp3c18_13120, Pp3c18_20710, Pp3c21_5550, Pp3c21_6200
OG0001614	AT4G33070, AT5G01320, AT5G01330, AT5G54960	kfl00312_0050	Mp3g21090, Mp5g09500		Pp3c17_2040, Pp3c19_19330, Pp3c1_22470, Pp3c3_15510
OG0001616	AT4G39620	kfl00009_0620	Mp8g16070		Pp3c4_9690, Pp3c4_96900, Pp3c4_96901, Pp3c4_96902, Pp3c4_96903, Pp3c4_96904, Pp3c4_96905, Pp3c4_96906, Pp3c4_96907, Pp3c8_4580
OG0001625	AT5G27400	kfl00042_0040	Mp1g14680		Pp3c27_4830, Pp3c6_24550, Pp3c6_245500, Pp3c6_245501, Pp3c6_245502, Pp3c6_245503
OG0001626	AT5G35180	kfl00346_0080	Mp1g00880		Pp3c10_12000, Pp3c12_9430, Pp3c3_27440, Pp3c6_26940
OG0001630	AT5G65540	kfl00066_0020	Mp3g08840		Pp3c20_16050, Pp3c20_160500, Pp3c20_160501, Pp3c20_160502, Pp3c20_160503, Pp3c20_160504, Pp3c20_160505, Pp3c20_160506
OG0001635	AT1G01320, AT1G15290, AT4G28080	kfl00172_0090		pm000242g0070	Pp3c24_6750, Pp3c8_14980
OG0001638	AT1G03120, AT3G22490, AT3G22500, AT5G27980	kfl00056_0230, kfl00056_0240	Mp5g18240, Mp7g06630		Pp3c25_10310, Pp3c6_200
OG0001642	AT1G05790	kfl00287_0050	Mp7g16330		Pp3c5_12210, Pp3c6_14360
OG0001643	AT1G05830, AT2G31650	kfl00733_0020	Mp7g16780		Pp3c16_18950, Pp3c5_20190, Pp3c6_7710
OG0001644	AT1G05910	kfl00083_0260	Mp2g00420		Pp3c20_16710, Pp3c23_2940
OG0001646	AT1G08620, AT1G30810, AT2G34880, AT4G20400		Mp6g20340	pm007877g0020, pm010483g0030, pm014393g0010	Pp3c16_4220
OG0001652	AT1G14970, AT1G35510, AT1G38065, AT2G01480	kfl00412_0070	Mp3g16050		Pp3c20_18400, Pp3c20_18402, Pp3c23_8630, Pp3c8_8080
OG0001655	AT1G17270, AT1G53770, AT5G50420	kfl00033_0140		pm000986g0010, pm003232g0010, pm004117g0020, pm005272g0020, pm005540g0010, pm015503g0020, pm015998g0010, pm015998g0020, pm022316g0010, pm037246g0010, pm040576g0020, pm244956g0010	Pp3c26_250
OG0001657	AT1G19530	kfl00529_0090	Mp3g03170, Mp3g03180, Mp3g03190, Mp3g10200, Mp3g10210, Mp3g10380, Mp3g11280, Mp4g05450, Mp4g05460, Mp6g09190		Pp3c16_7660, Pp3c20_22930
OG0001658	AT1G19710, AT1G52420, AT1G75420, AT3G15940		Mp1g05790	pm002800g0060, pm003265g0020, pm004858g0020, pm004858g0030, pm006549g0010, pm014108g0030, pm041940g0010	Pp3c9_7950
OG0001665	AT1G34490, AT1G34500, AT1G34520, AT3G51970, AT5G51420, AT5G55320, AT5G55330, AT5G55340, AT5G55350, AT5G55360, AT5G55370, AT5G55380		Mp6g01480	pm007630g0020	Pp3c3_10310
OG0001667	AT1G50260, AT3G19830	kfl00627_0050	Mp3g15350		Pp3c2_31020, Pp3c2_310200, Pp3c2_310201, Pp3c2_310202
OG0001671	AT1G55340		Mp2g00400	pm003503g0010	Pp3c17_14270, Pp3c1_33320, Pp3c2_2700, Pp3c5_17000, Pp3c6_15840
OG0001674	AT1G64990, AT4G27630	kfl00326_0060	Mp2g17380	pm006713g0020, pm008848g0020, pm008848g0030, pm021531g0010	
OG0001685	AT2G16090, AT4G34370	kfl00084_0120	Mp2g15500		Pp3c26_11830, Pp3c26_118300, Pp3c26_118301, Pp3c26_118302, Pp3c26_118303
OG0001696	AT2G32150, AT3G62040, AT5G02230, AT5G59480, AT5G59490	kfl00947_0045		pm001056g0010, pm002583g0090	Pp3c27_8130, Pp3c6_27410
OG0001707	AT3G04360, AT4G01200		Mp5g03770, MpVg00170	pm054831g0010	Pp3c12_16910, Pp3c18_18780, Pp3c22_3410, Pp3c3_32730, Pp3c4_8950
OG0001708	AT3G05190, AT5G27410		Mp3g07830	pm001555g0050, pm016703g0010	Pp3c16_17790, Pp3c6_5420
OG0001709	AT3G11397, AT5G02040, AT5G05987	kfl00255_0170		pm020488g0010, pm073004g0010	Pp3c12_10880, Pp3c13_19480, Pp3c3_20660
OG0001710	AT3G12010	kfl00224_0160	Mp1g04400		Pp3c6_28540, Pp3c6_285400, Pp3c6_285401, Pp3c6_285402
OG0001711	AT3G12680	kfl00226_0130	Mp7g15840		Pp3c1_12940, Pp3c2_24140
OG0001720	AT3G45090, AT5G60760	kfl00083_0130	Mp4g16430		Pp3c16_14220, Pp3c25_6240, Pp3c2_7230
OG0001721	AT3G49620, AT3G49630, AT3G50210		Mp4g11120	pm002518g0040, pm009497g0020, pm015831g0020, pm015831g0030, pm026416g0010, pm034475g0010	Pp3c21_1290
OG0001726	AT4G00800	kfl00024_0200	Mp8g08230		Pp3c17_2710, Pp3c7_20800
OG0001731	AT4G19720, AT4G19750, AT4G19760, AT4G19770, AT4G19800, AT4G19810, AT4G19820		Mp8g05790	pm000886g0040, pm001200g0010, pm001200g0020, pm005506g0010, pm007627g0070, pm017099g0010	Pp3c16_1070
OG0001749		kfl00547_0060	Mp1g00180	pm002684g0030, pm005816g0040, pm007168g0020, pm011123g0020	Pp3c13_16600, Pp3c3_20260, Pp3c4_7960, Pp3c4_7965
OG0001751		kfl00227_0160	Mp7g07500	pm012637g0030	Pp3c20_6230, Pp3c24_15970, Pp3c8_17520
OG0001761	AT1G06060	kfl00217_0020	Mp1g16970		Pp3c15_18970, Pp3c9_8180
OG0001762	AT1G08370	kfl00116_0220	Mp1g25660		Pp3c16_16350, Pp3c27_1630, Pp3c5_13560, Pp3c6_17640
OG0001775	AT1G22970, AT1G22980, AT1G71150	kfl00485_0070		pm021405g0020	Pp3c15_5840
OG0001785	AT1G48380	kfl00134_0030	Mp4g02250		Pp3c25_9140, Pp3c25_91400, Pp3c25_91401, Pp3c25_91402, Pp3c5_25480
OG0001786	AT1G48550	kfl00540_0040	Mp8g03740		Pp3c1_6570, Pp3c2_29770
OG0001788	AT1G51720	kfl00782_0010	Mp5g23940		Pp3c14_22460, Pp3c1_36440, Pp3c2_4200
OG0001799	AT1G72250, AT2G22610, AT5G27550	kfl00447_0060	Mp4g01680		Pp3c20_5990, Pp3c24_13720
OG0001803	AT2G06025	kfl00015_0510	Mp2g11130		Pp3c12_9920
OG0001816	AT2G33640, AT3G22180, AT4G15080	kfl00287_0100	Mp4g09590		Pp3c12_23540, Pp3c3_36840, Pp3c5_9220, Pp3c6_21250
OG0001825	AT2G45460	kfl00029_0300	Mp1g04060, Mp5g09970		Pp3c5_28010
OG0001850	AT3G44050	kfl00364_0070	Mp1g02010		Pp3c16_4640, Pp3c27_5070, Pp3c5_1290
OG0001852	AT3G51130		Mp2g18070, Mp6g09260	pm000849g0090, pm001447g0070, pm001641g0070	Pp3c10_8990, Pp3c2_6370
OG0001858	AT3G63290		Mp5g07400	pm004812g0030, pm007174g0010	Pp3c22_5720, Pp3c22_5780
OG0001866	AT4G36960		Mp2g09480, Mp6g13280	pm002595g0010, pm010659g0010, pm017195g0020, pm027564g0010, pm085632g0010	Pp3c13_13860, Pp3c3_17370
OG0001870	AT5G17610	kfl00410_0070	Mp5g21280		Pp3c18_1710, Pp3c19_9960, Pp3c7_5640
OG0001873	AT5G37810, AT5G37820	kfl00019_0540	Mp8g11200		Pp3c12_10150, Pp3c13_23650, Pp3c4_14920
OG0001878	AT5G66810	kfl00258_0210	Mp4g17070		Pp3c4_14260, Pp3c4_142600, Pp3c4_142601, Pp3c4_142602, Pp3c4_142603, Pp3c4_142604, Pp3c4_142605, Pp3c4_142606, Pp3c4_142607, Pp3c4_142608
OG0001881		kfl00106_0200	Mp7g00610	pm003945g0030, pm005758g0060, pm006483g0060, pm013041g0020, pm014282g0010, pm014282g0020	Pp3c17_10270, Pp3c9_24070
OG0001883		kfl00021_0510, kfl00151_0130	Mp1g18020	pm000610g0060	Pp3c18_5460, Pp3c21_18410, Pp3c22_17900
OG0001885		kfl00354_0010	Mp1g11200	pm008761g0020, pm024879g0010	Pp3c12_11660, Pp3c3_22020
OG0001886		kfl00630_0040, kfl00710_0010	Mp6g10940	pm003990g0020, pm006746g0010	Pp3c20_15390, Pp3c24_18570, Pp3c8_14030
OG0001898	AT1G10520	kfl00018_0140, kfl00807_0060	Mp5g00050, Mp7g05700		Pp3c15_19010
OG0001900	AT1G10660, AT1G70505, AT3G27770, AT5G62960	kfl00163_0060	Mp2g06010		Pp3c27_3720, Pp3c6_25320
OG0001904	AT1G13310	kfl00406_0110	Mp8g13960		Pp3c15_5000, Pp3c18_11800, Pp3c18_118000, Pp3c18_118001, Pp3c18_118002, Pp3c18_118003, Pp3c18_118004, Pp3c18_118005
OG0001906	AT1G15280, AT1G80000	kfl00416_0140	Mp8g03760		Pp3c17_2620, Pp3c17_2626, Pp3c17_2630
OG0001910	AT1G17210, AT1G48950	kfl00058_0070	Mp4g04310		Pp3c7_5540, Pp3c7_55400
OG0001911	AT1G17790, AT1G73150		Mp1g09130, Mp1g20280, Mp2g14370	pm000087g0020, pm001654g0020, pm008802g0010, pm009877g0020, pm190933g0010	Pp3c12_15340, Pp3c4_19130, Pp3c4_19180
OG0001918	AT1G27460, AT2G43040, AT4G28600	kfl00114_0220	Mp4g21740		Pp3c22_16130, Pp3c2_3430
OG0001921	AT1G35340		Mp3g09810	pm001791g0010, pm004700g0070	Pp3c18_9200
OG0001923	AT1G45180, AT4G31450, AT5G10650, AT5G24870	kfl00027_0540	Mp1g11510		Pp3c19_21510, Pp3c22_1990
OG0001933	AT1G69500	kfl00139_0060	Mp1g05180, Mp3g12110, Mp6g16900, Mp8g09030, Mp8g09040		Pp3c14_23760, Pp3c14_23761, Pp3c17_22820, Pp3c2_9340
OG0001937	AT1G79280	kfl00065_0380	Mp2g14600, Mp5g17060, MpVg00520		Pp3c8_8020
OG0001955	AT2G29525, AT2G37940, AT3G54020	kfl00228_0020	Mp6g15920		Pp3c20_10120, Pp3c23_1080, Pp3c8_19970
OG0001957	AT2G33490, AT3G26910, AT5G41100	kfl00014_0220	Mp1g15070		Pp3c11_24570, Pp3c7_960
OG0001967	AT2G44900, AT3G60350	kfl00191_0010	Mp3g19120, Mp4g04850		Pp3c12_9670, Pp3c12_9730, Pp3c4_17860
OG0001968	AT3G01130, AT5G15320		Mp4g01040	pm009116g0030, pm012689g0040, pm015504g0020, pm065029g0010	Pp3c1_20190, Pp3c2_20190
OG0001975	AT3G11960	kfl00077_0080	Mp1g04070		Pp3c24_19520
OG0001980	AT3G22810, AT3G63300, AT4G14740, AT5G43870	kfl00358_0045	Mp5g17610		Pp3c12_26210
OG0001982	AT3G25950, AT3G27270, AT5G14285	kfl00021_0270	Mp1g28710		Pp3c12_15820, Pp3c13_17450, Pp3c3_27560, Pp3c4_11220
OG0001984	AT3G48200	kfl00400_0080	Mp2g07770		Pp3c1_22410, Pp3c9_12560, Pp3c9_870
OG0001985	AT3G51420, AT3G51430, AT3G51440, AT3G51450		Mp1g13820	pm000166g0030, pm002885g0020	Pp3c11_12280, Pp3c16_11140, Pp3c1_12890, Pp3c2_21230
OG0001989	AT3G56720	kfl00151_0290	Mp2g24400		Pp3c14_4840, Pp3c1_21670
OG0001994	AT4G12650, AT5G35160		Mp6g10640	pm000154g0030, pm000486g0010, pm000823g0110, pm003169g0030, pm137481g0010	Pp3c26_10610, Pp3c26_10670, Pp3c4_24700
OG0001995	AT4G17486, AT5G25170, AT5G47310	kfl00056_0290	Mp1g23750, Mp4g10410		Pp3c11_20830, Pp3c7_6280
OG0002001	AT4G33590, AT4G33600		Mp7g05800, Mp8g13890	pm000325g0050, pm001186g0080, pm001265g0010, pm002968g0020, pm003020g0060, pm011012g0020, pm011966g0020, pm153538g0010, pm243707g0010	Pp3c12_23630, Pp3c15_4700, Pp3c18_13510
OG0002002	AT4G36790	kfl00003_0560	Mp8g00680		Pp3c3_31260, Pp3c3_312600, Pp3c3_312601, Pp3c3_312602, Pp3c3_312603, Pp3c3_312604, Pp3c3_312605, Pp3c3_312606, Pp3c3_312607, Pp3c3_312608
OG0002009	AT5G24750	kfl00331_0090		pm007018g0010, pm008675g0040, pm028931g0020, pm029063g0020	Pp3c9_24800, Pp3c9_248000, Pp3c9_248001, Pp3c9_248002, Pp3c9_248003, Pp3c9_248004
OG0002026		kfl00129_0070	Mp8g16280	pm002616g0040, pm029432g0010	Pp3c3_14940, Pp3c3_149400, Pp3c3_149401, Pp3c3_149402
OG0002027		kfl00209_0210	Mp1g02550	pm003526g0010, pm010242g0020, pm010242g0030, pm010569g0030, pm015486g0020	Pp3c14_26310, Pp3c17_23590, Pp3c1_43030
OG0002028		kfl00154_0060	Mp7g08280	pm002214g0020, pm010007g0010, pm013551g0020, pm015948g0010, pm053567g0010, pm062374g0010	Pp3c10_20360, Pp3c3_24520
OG0002029		kfl00350_0020	Mp2g16400	pm014851g0010	Pp3c14_12460, Pp3c1_21630, Pp3c1_216300
OG0002030		kfl00465_0040	Mp4g03950	pm000164g0020, pm000822g0020, pm004186g0020, pm006960g0040	Pp3c23_9830, Pp3c9_12300, Pp3c9_15430
OG0002037	AT1G06050, AT5G10750, AT5G24990, AT5G25010		Mp6g16230	pm017071g0010, pm043872g0010, pm051266g0010	Pp3c12_21240, Pp3c17_720, Pp3c4_8340
OG0002039	AT1G07230, AT2G26870, AT3G03520, AT3G48610	kfl00503_0060	Mp7g15180, Mp8g11280		Pp3c13_20340, Pp3c4_10760, Pp3c4_10762
OG0002044	AT1G12070, AT1G62450, AT3G07880		Mp1g02130, Mp2g06810	pm000015g0030, pm002199g0020, pm006745g0020	Pp3c10_19650, Pp3c10_19740, Pp3c3_32980, Pp3c3_33010
OG0002046	AT1G13220, AT1G68790, AT5G65770, AT5G65780	kfl00193_0080	Mp3g21160		Pp3c1_1360, Pp3c2_34830
OG0002060	AT1G22750		Mp7g18860	pm008574g0010, pm012012g0010, pm163290g0010	Pp3c21_15140
OG0002065	AT1G34020, AT4G09810, AT4G39390	kfl00257_0060, kfl00264_0190	Mp6g01940	pm000418g0020, pm005217g0040, pm007355g0020, pm008024g0020, pm011691g0020	
OG0002070	AT1G48240, AT2G35190, AT3G17440		Mp2g03810	pm005206g0040, pm009279g0010, pm013497g0020, pm018411g0010	Pp3c17_10260, Pp3c26_1180
OG0002078	AT1G70210, AT5G10440, AT5G65420	kfl00080_0200	Mp8g17230		Pp3c15_17470, Pp3c9_8300
OG0002079	AT1G71720		Mp1g07870	pm010064g0020	Pp3c18_13010, Pp3c19_21190
OG0002084	AT1G78230	kfl00432_0010	Mp2g24920		Pp3c25_2420, Pp3c25_24200, Pp3c25_24201, Pp3c25_24202, Pp3c25_24203, Pp3c25_24204, Pp3c25_24205, Pp3c25_24206
OG0002089	AT2G15970, AT3G50830, AT4G37220	kfl00545_0080	Mp7g18950		Pp3c10_12250, Pp3c10_22800, Pp3c20_22310, Pp3c3_23240
OG0002096	AT2G26360, AT2G35800	kfl00084_0070		pm003894g0010, pm006248g0010, pm018592g0020, pm032441g0010	Pp3c11_8770, Pp3c7_16780
OG0002109	AT2G46320, AT4G27940	kfl00406_0020	Mp8g11500		Pp3c24_19780, Pp3c8_22470
OG0002122	AT3G14880	kfl00154_0140, kfl00399_0090	Mp1g28510		Pp3c13_11750, Pp3c26_14620, Pp3c3_9650
OG0002126	AT3G19000, AT3G19010	kfl00090_0310	Mp2g23460		Pp3c18_7530, Pp3c18_7580, Pp3c18_7600
OG0002129	AT3G27160		Mp4g00420, Mp4g21580	pm000874g0030, pm005884g0010, pm011693g0010	Pp3c10_22890, Pp3c20_22830, Pp3c23_14280, Pp3c24_1550
OG0002130	AT3G46450	kfl00126_0040	Mp1g14630		Pp3c14_19130, Pp3c9_11070
OG0002132	AT3G49140, AT3G59300, AT5G24060	kfl00537_0110	Mp1g28650		Pp3c17_19250
OG0002133	AT3G49160	kfl00040_0090		pm000304g0090, pm002576g0030, pm002576g0040, pm005307g0080, pm022661g0030	Pp3c14_1520, Pp3c1_20930
OG0002135	AT3G53090		Mp7g02100, MpUg00170	pm004114g0090, pm005219g0050, pm015086g0010, pm034225g0010, pm051240g0010	Pp3c16_5120, Pp3c25_6380, Pp3c6_23490
OG0002139	AT4G00290	kfl00066_0010	Mp1g16810		Pp3c10_20950, Pp3c15_19020, Pp3c9_20120, Pp3c9_20150
OG0002149	AT4G31115	kfl00194_0040	Mp4g02240		Pp3c18_13100, Pp3c21_4250, Pp3c5_2110
OG0002150	AT4G33210	kfl00352_0100	Mp4g13760		Pp3c12_17410, Pp3c4_12360, Pp3c5_23900, Pp3c6_6070
OG0002154	AT5G05930	kfl00736_0080	Mp1g19710		Pp3c19_5660, Pp3c22_3300
OG0002167		kfl00068_0020, kfl00255_0050, kfl00296_0040, kfl00769_0040	Mp2g01000	pm000129g0110, pm001097g0090, pm007363g0050, pm011106g0020, pm026009g0030	Pp3c4_9450, Pp3c6_19140
OG0002171		kfl00070_0050	Mp6g17110	pm003099g0050, pm006715g0030	Pp3c11_6610, Pp3c11_6630, Pp3c7_22760
OG0002173		kfl00284_0070	Mp7g16360	pm006878g0040	Pp3c12_18960, Pp3c12_23490, Pp3c3_36760, Pp3c3_36775
OG0002194	AT1G11540, AT1G61740	kfl00028_0050	Mp2g19400, Mp2g20460, Mp4g03600, Mp7g15610		Pp3c20_11020, Pp3c20_11021, Pp3c3_30550, Pp3c6_6340
OG0002200	AT1G16860, AT1G78880, AT4G22290	kfl00549_0030	MpUg00360, MpVg01150		Pp3c12_5140, Pp3c4_15790
OG0002207	AT1G21350	kfl00300_0150		pm006588g0020, pm006588g0030, pm009002g0010, pm011104g0010	Pp3c20_22500, Pp3c23_490
OG0002209	AT1G23110, AT1G70900	kfl00260_0020	Mp5g16150		Pp3c7_7180, Pp3c7_71800, Pp3c7_71801
OG0002227	AT1G53470, AT1G78610, AT2G17000, AT2G17010, AT3G14810	kfl00002_0320	Mp8g14680		Pp3c11_3390, Pp3c1_10620, Pp3c7_19980
OG0002230	AT1G55750, AT3G61420	kfl00185_0160	Mp7g14080		Pp3c26_14480
OG0002234	AT1G61050, AT2G38150, AT2G38152, AT3G09020, AT5G01250	kfl00060_0150, kfl00060_0170	Mp2g00440		Pp3c11_11530, Pp3c9_4000
OG0002237	AT1G65520, AT4G14430, AT4G14440	kfl00109_0330	Mp5g09900, Mp6g16330		Pp3c15_6310, Pp3c5_25300
OG0002244	AT1G71697, AT1G74320, AT4G09760	kfl00254_0100	Mp1g04650		Pp3c16_7450, Pp3c25_8670
OG0002247	AT1G75710, AT2G29660, AT4G27240, AT5G54630	kfl00045_0250	Mp3g21490		Pp3c23_13220, Pp3c24_2500
OG0002259	AT2G23740		Mp7g11940	pm003192g0020, pm026589g0010	Pp3c19_9880, Pp3c19_9910, Pp3c22_17280
OG0002260	AT2G25490, AT5G25350	kfl00213_0050	Mp8g05840	pm000776g0020, pm001826g0050, pm002617g0010, pm003155g0010, pm003393g0030, pm006313g0020, pm008711g0010, pm011077g0010, pm012507g0010	
OG0002261	AT2G25570	kfl00477_0060	Mp5g20780		Pp3c21_8470, Pp3c21_84700, Pp3c21_84701, Pp3c21_84702, Pp3c21_84703
OG0002271	AT2G37720, AT5G20680, AT5G64020		Mp4g16930	pm003700g0020, pm072766g0010	Pp3c24_18900
OG0002279	AT2G40860	kfl00680_0020		pm002810g0060, pm005048g0040, pm005048g0070, pm006865g0010	Pp3c4_23550
OG0002286	AT2G42240, AT3G13700	kfl00001_0730	Mp8g18530, Mpzg00560		Pp3c9_25140
OG0002291	AT2G48110, AT3G23590	kfl00065_0340	Mp1g09470		Pp3c16_10580, Pp3c5_25280
OG0002293	AT3G04240	kfl00945_0020	Mp6g04800		Pp3c5_10370, Pp3c6_13940
